BATCH_ID,AMOUNT_TIP,TOTAL_EARNINGS
336789428,1.7,10.91
337942576,13.17,25.08
338664886,18.93,36.82
337726940,47,59.8
338805298,25.82,44.67
339085978,6.23,13.23
335858651,3.07,12.07
338594037,9.26,28.16
338045538,2.24,20.63
336464686,25,36.13
339465824,6.09,19.68
340542319,26.07,37.41
336671118,17.14,39.86
337575768,5.47,13.4
340769860,37.76,48.36
338106028,35.21,51.89
337368743,7,25.27
338676826,18.53,34.17
337856700,59.83,79.84
339178823,5.06,12.89
340336474,45.64,61.82
338222416,3.19,15.74
338032861,2.47,9.47
338063455,2,20.17
338692548,17.37,47.57
337362382,15,22.41
337406488,2,9
336094279,1.93,8.93
338112891,6.6,13.89
336627249,10.8,25.76
340651929,16.62,43.09
338025121,3.89,10.89
338429422,5.99,17.77
336594061,25,42.37
337122162,2,12.63
339100450,19.66,31.97
339491630,3.62,11.15
340559610,30.64,41.25
340440862,7.65,19.38
340601751,7.26,17.47
339943502,13.97,28.9
337781567,25,41.12
340487251,32.77,51.76
338922185,5.1,22.12
339961964,27.26,40.5
336594011,3.18,27.74
337642157,9.7,27.4
338116600,13.29,32.12
336178865,13,23.27
338073085,9.67,28.46
340670926,11.32,21.88
340432297,6.67,16.69
340624339,30,46.13
337707473,28.74,37.85
336589432,28,47.45
338512019,16.32,35.59
338338064,6.74,16.14
339711398,12.22,25.8
336143724,0,10.67
339697951,2,22.42
338826628,44.4,66.91
336813930,6.27,14.17
339893924,8.84,22.01
337992570,11.04,32.21
335925376,5.68,15.79
336007398,5.8,12.8
337394088,3.23,10.23
336400460,12.81,20
337370898,3.61,10.61
336207559,2,9
340319006,25,35.24
340763446,2.54,21.48
336493531,8.32,27.5
337288932,15,35.5
337964298,4.34,12.52
336342947,23.59,34.82
336134747,6.32,15.7
338714407,17.43,38.06
340744075,7.56,16.28
340211633,6.2,19.91
340275611,19.36,31.03
338870146,5.56,16.56
340611094,26.61,36.3
340335777,5.32,21.02
336451239,25.44,40.79
335836797,3,11.29
337030594,5.36,17.57
338590047,30.42,40.8
337810056,6.9,14.72
338864809,4.89,12.97
338766335,30.86,48.76
338670089,2,20.14
337880134,9.38,17.09
339813282,9.26,16.26
335846915,23.04,44.32
338775778,21.25,31.38
336921643,8.82,26.26
336091103,10.33,31.74
337901173,44.96,61.51
336047738,5.97,12.97
337365350,12.83,26.54
337400384,2,16.72
336568859,3,14.42
338670016,8.27,21.29
339828445,31.2,47.3
340566872,15,29.08
339983200,10.24,18.56
338866646,5,12
339515632,27.25,37.17
337003334,3.4,11.3
340355765,23.68,50.56
336456842,47.65,63.5
338785447,13.37,25.42
339518876,23,37.93
338083914,4.17,18.25
336815955,4.09,12.58
337610880,15.21,35.01
337735054,18.28,40.23
338475866,9.13,25.78
336985116,5,20
337386256,7.73,19.85
339632065,10.32,32.04
337353873,15.93,27.97
338042646,12.63,28.4
336643314,28.26,44.2
339560558,11.4,26.99
336746562,12.36,39.55
340620137,10.35,19.35
340366884,22.92,48.61
340308735,22,51.83
336466007,19.81,50.54
339322066,24.01,46.41
338674639,10.12,27.86
337684399,13.48,31.45
336608141,2,11.95
339841964,27.9,45.13
338677105,26.67,47.03
337664646,20.78,45.81
336745813,26.01,33.01
336053142,27.69,39.45
336805398,7.39,22.9
339607269,5.19,14.94
337975077,12,23.92
340346886,10,28.25
340752307,10.68,23.54
335937401,9.36,25.77
338918042,31.71,47.61
340417103,14.83,23.96
337205717,5,12
335838038,15.08,29.57
340373427,21.64,30.56
338737849,3.77,28.86
336069790,19.68,30.98
336783469,13.13,28.88
335997105,5.63,17.55
338588966,20,52.21
340151105,11.01,23.68
338004114,11.58,29.21
336696229,6.46,19.54
336204295,12,25.22
337193257,14.29,41.32
339589162,19.19,30.07
338021028,9.44,27.72
336379616,19.7,38
336455452,54.78,73.68
338078326,27.18,37.75
338595042,12.97,25.54
336465541,22.15,36.8
337994715,18.73,32.31
336786623,7.68,19.49
340610213,7,19.53
336789489,14.74,47.23
337731255,24.12,52.79
336916198,72.6,105.42
340712365,7.06,25.41
336423696,15.78,41.12
339124780,12.13,21.85
336800690,2.69,9.69
338734470,18,31.77
336769404,8.48,22.05
338922560,2,17
336520838,31.27,52.55
336218011,12.36,22.08
337986809,15.7,22.7
336587745,26.21,55.16
335847533,23.29,47.19
340555842,2.99,14.07
337267304,31.1,50.55
337324872,14.07,30.19
336094477,17.93,34.19
340681700,14.07,23.68
336344706,37.35,50.83
340225858,14.73,25.15
338429989,5,14.33
340595138,16.54,37.14
338657297,7.07,17.59
336142352,9,22.46
338769588,24.77,35.2
339348184,8,23.94
336453395,9.64,21.18
337979514,27,45.22
339279124,30,53.8
338521113,9.55,18.1
336044251,10.61,19.93
335922833,3.17,14.36
336017942,5,13.97
337252856,15.81,23.32
339823792,3.41,10.97
337670659,26.74,42.31
338327802,12.9,21.78
337305838,12.18,21.68
335763022,10,18.12
338385956,25.19,39.98
340384538,7.98,20.24
337363162,11.56,29.25
340266642,22.28,35.33
340648425,6.81,14.84
340449450,9.85,24.34
337850270,9.72,34.29
339157728,10.55,23.74
338529280,34.08,45.64
339290167,20.7,38.99
340710379,2,11.54
340728254,2.83,9.83
335683325,1,15.97
340541880,5.04,17.74
340670703,5,24.31
339904427,4.4,11.4
336007420,26.84,37.92
338327675,25.36,40.85
339950262,11.41,42.07
339356151,11.57,33.42
339599536,37.86,49.23
339083740,11.99,22.72
340689446,21.81,41.45
337815333,2,9
340428378,7.17,18.45
336799465,9.64,20.48
338664707,20,38.86
338879565,3.65,18.65
338863741,2,9
338615795,9.91,34.55
338078503,5.56,12.56
339269855,3,18.17
339667210,18.4,30.07
339665379,12,24.07
339872775,17.74,31.98
336090029,9.56,18.79
338053551,21.5,52.77
336784467,4.45,19.12
338336138,19.91,36.9
337894614,7.31,14.31
335900360,4.47,14.59
335683769,24.82,55.9
338504977,1.85,15.66
340318991,1.8,14.15
337400634,2.41,9.89
340649657,23.8,40.47
338012991,16.9,31.13
338023593,2,9
336344600,13.86,26.03
337569793,30.97,48.88
340705600,20.57,38.16
340436184,2,13
335800848,26.35,38.95
337367860,2,9
339650517,6.43,13.43
336681549,8.85,16.23
336141999,2.36,18.62
336549342,15,31.04
338440110,22.4,50.91
337719555,16.12,35
335770724,44.19,56.86
336084434,11.6,20.01
337746426,8,22.11
336745783,7.26,16.98
337145663,3.96,23.58
335908614,6,19.42
335812040,6.3,22.86
340131471,10,21.06
336533903,17.59,27.64
339400102,15.24,46.06
338396899,3.08,11.25
340601005,8.35,21.47
338070352,11.65,31.86
340740144,11.56,25.51
338715864,2.86,21.41
337314886,12.7,19.7
339339239,13.39,41.75
339780119,10.85,21.21
339491529,6.78,29.49
340308222,7.22,16.07
339947443,2,9.8
338501954,5,35.82
338923075,8,15
340542054,27.78,54.47
336585863,2.11,18.55
339819544,3.65,19.38
335893060,50.36,78.62
338093888,8.28,20.85
336351317,9.33,17.67
336736299,10,17.58
337944278,21.02,38.25
338692682,12.62,29.31
340291718,8.01,32.68
337042894,6.76,14.15
339081108,9.06,30.03
338590123,28.02,47.28
339155386,8.52,22.98
339503513,17.33,28.34
337990884,11.86,21.7
339089950,8.77,20.45
335683749,15.37,23.58
339565861,10.96,20.61
336020839,2.14,9.14
335740664,15.67,31.27
336813519,13.69,33.7
340391034,13.96,22.5
340225727,4.85,11.85
338594261,12.96,29.5
340285262,3.75,18.53
338456642,8.37,19.36
338044405,15.3,25.33
340319185,3.55,17.88
335779783,22.13,34.86
339485799,24.63,45.51
336124929,11.75,28.99
337806329,2,13
337904132,8.91,40.61
337398212,3.43,10.43
336734463,4.19,11.19
338703087,22.34,34.8
336170026,24.54,32.51
335828769,17.3,33.22
338102970,21.03,30.61
338295876,2.29,19.63
336659626,5.08,19.72
338869424,7.87,17.65
339144853,8.02,15.02
337179742,30.05,37.44
337856895,43,54.52
336214914,8.33,24.72
338467878,21.83,38.18
339042733,21.73,39.47
338645938,15.06,25.04
338715424,28.82,55.14
339839347,10.35,27.01
338201553,8.46,26.54
335890492,18.08,44.3
337081107,18.53,35.66
339290169,43.65,75.48
337200598,6,15.81
335688039,13.26,24.12
335797820,13.65,26.72
340465588,6.2,14.72
337873000,46.64,74.66
337377405,16.56,24.57
339692638,11.64,25.38
337827670,12.42,38.92
338526804,6.84,19.01
339952251,11.36,33.3
336069597,2,9
338830774,15.86,27.87
335775688,40,59.67
337374542,4.85,17.23
337066961,2,9.11
339282464,15.04,22.31
338521674,12.29,20.93
338365421,27.95,56.7
336351492,17.68,36.29
338767986,7.34,21.44
336477804,3.66,10.66
336113277,8,22.46
336428463,50.13,66.3
338918517,11.1,21.94
336916688,15,29.07
340219304,25,32.1
340243670,30.16,54.2
336767630,16.28,33.81
338049710,17.04,30.47
337388765,13.64,26.44
340767585,10.83,20.85
340432417,10.9,24.36
340765311,2.15,16.01
338502355,7.85,16.92
336537715,45,64.11
340190186,26.15,38.49
340272471,3,20.22
337083841,5,17.78
336933638,7.24,19.93
338033016,6.41,15.75
337610892,7.12,18.54
336576817,18.75,42.62
337322520,30,42.34
339657233,13.72,32.48
337828931,0,9.06
338003772,0,15.39
336956762,19.58,31.26
340107335,18.6,27.21
338096453,10,19.01
337150846,0,15.02
340760836,5.61,17.72
338564332,18.49,45.86
339994651,3.8,23.7
340602975,20.71,32.67
338474265,4.9,21.09
340373944,5.14,15.8
338881890,9.97,20.46
340717053,1.14,12.14
338634620,20,28.47
337177510,14.65,32.05
340073972,10.17,24.35
337264536,15.03,24.03
337824364,27.58,36.78
337744451,22.85,40.26
336991644,5.74,15.7
336592779,5.44,17.1
336152836,12.39,22.8
336598418,56.16,73.11
338433298,39.23,52.22
337294490,1.3,15.64
338807525,2,9
339839254,14.16,28.96
337288852,15.85,41.55
340684959,2.79,9.79
336733308,20.52,36.63
337349240,4,15.79
340459734,4.17,21.34
340722550,26.29,37.2
337363387,20,27
337735769,17.41,26.31
340360146,18.2,33.23
336806675,2.42,9.42
337226115,6.32,17.85
340523910,12.19,26.67
337216322,11.65,37.89
339458397,22.36,34.36
336615964,30.93,48.47
338904865,5.13,13.77
337251281,16.95,33.99
337656835,21.48,30.75
336182180,29.87,40.45
338605134,16.96,30.45
337271158,13.29,28.86
336344599,6.62,18.51
336054664,2.41,34.21
336465890,10,21.7
339965627,7.61,15.66
339659835,2.79,15.79
338550229,20,33.47
340764794,3.09,16.57
339860424,7.24,25.31
339027270,15.54,45.74
338887178,7,22.08
338875515,18.87,51.34
339258172,4.09,12.26
339518696,17.66,34.12
337650037,4.79,14.34
340437995,8.82,25.71
339929278,17.85,32.75
338737289,26.16,44.36
336196425,10,21.46
336802709,21.56,33.18
339540995,1,16
336957912,15.25,32.44
340771956,6,20.28
336206121,16.54,24.05
337052179,18.89,31.49
337716833,6.11,13.11
336751761,18.5,37.69
338115529,4,13.64
336154488,9.18,21.77
337722849,32.51,41.65
336451213,30,44.66
336524082,6.26,29.66
337837782,29.98,40.36
336881160,13.66,25.64
336604320,6.47,16.04
336342853,7.95,16.17
335908547,12.74,19.74
339389631,17.38,27.52
338018842,3,10.04
336130905,15.98,25.69
338575131,6.19,19.12
338606211,2,17.09
339988993,7,20.42
337714556,10,21.56
338417081,10.52,24.17
337637941,0,21.78
337099579,7.21,21.19
339685088,4.44,20.59
336077434,2.6,9.77
336688073,23.11,31.81
337722121,15,41.31
338447155,14.12,42.6
336584619,5.37,12.37
335754179,10.54,22.32
337016608,16.71,42.23
336919579,5.57,14.99
337036362,8.66,23.54
336182074,9.54,25.59
338313930,10.67,30.75
336799922,22.11,50.02
336221344,9.79,18.14
336493641,16.23,34.18
335995751,17.37,27.33
337353414,2.2,10.09
336135953,18,30.07
338595323,50.64,67.08
339061503,17.91,30.68
340648781,2,11
337147384,32.75,46.39
338678196,5.64,21.08
338100627,6.92,23.76
336477815,21.82,37.79
336164971,6.05,25.72
339658416,7.55,14.55
335961175,15,38.23
336696544,24.3,37.89
336074528,2,9
336134710,10,20.51
338117162,23.02,38.25
338784173,6.47,15.82
338510015,19,29.57
336482734,4.8,12.11
337720559,18.39,41.56
340665305,13.19,27.66
338118689,5.53,13.52
340316163,15.83,28.44
338105337,3.04,10.15
337179691,17.51,33.72
339512909,3.23,14.23
336683822,15,38.27
340251299,18.73,38.5
340764512,4.21,20.31
337724107,22.91,36.78
335808008,2.41,9.41
336496812,9.16,33.2
337316812,30.01,54.75
338065839,5.68,18.58
339700309,6.37,35.33
338649449,49.36,66.76
338067683,2.35,13.35
338629206,11.27,25.39
340139204,6.86,18.81
339917340,35.45,47.2
338552741,2,9
340506844,0,15
338104301,17.98,38.13
340627539,18.84,36.94
337484573,20.66,44.49
337047450,3.17,11.19
339978485,6.79,17.66
337951950,2,10.49
336749109,112.78,148.03
336447298,4.48,11.95
336168255,4.98,32.21
337132534,4.25,16.71
338669283,9.95,16.95
337294563,22.86,37.11
335919244,11.22,23.69
340469665,18.5,31.44
338688746,20.07,37.85
337710993,40,68.75
338328721,4.42,15.31
339328582,6.63,27.75
336344694,8.66,20.91
340312686,2.53,10.17
339773784,5,32.8
336802658,14.9,39.55
336351203,5.37,12.83
338629058,7.17,20.73
340253648,8.25,17.65
338440068,18.64,34.77
340356336,2.16,9.16
336414264,19.46,30.46
338082731,4.25,12.1
340275909,10.17,28.69
336162213,5.48,15.2
335863600,33.07,53.97
337615758,4.22,13.48
339990388,14.23,23.92
336775201,14.48,32.15
335754111,8.94,19.56
336753710,2.33,12.94
335909117,4.52,16.42
339918480,10.5,20.46
337892476,18.48,36.22
338756005,6.93,18.27
337349206,17.66,40.3
338611120,71.33,87.34
336219787,9.36,26.41
336111664,8.53,18.72
338387965,13.57,29.74
339507308,0,13.14
337608886,25.1,42.92
337335637,5.01,13.49
340625312,0,13
340668843,10.33,27.05
336654134,0,12.04
337677837,8.5,19.59
337956415,11.74,28.32
335877344,17.86,28.22
339898488,18.31,30.09
338637371,22.85,34.98
338493820,15.19,41.74
337377417,44.06,66.3
337861812,35.87,48.77
337832317,13.44,28.47
338476298,24.37,48.19
338911112,15.77,27.12
336764510,35,54.3
339064706,23.94,33.88
339643939,7.46,14.46
339954456,7.48,19.63
339478782,5,12.42
336580701,19.34,26.53
337753413,17.88,31.54
339279840,25.22,39.55
339968420,31.36,39.77
337025228,11.68,22.16
337159520,14.11,37.48
337732410,34,55.3
338226478,9.36,37.64
337805222,3.02,12.33
340428423,27.17,41.7
337796948,22.15,51.67
340619383,19.18,31.17
338682482,13.15,26.76
337324513,44.53,61.97
338116240,16.72,30.17
339876609,22.02,42.72
337390161,3.24,11.2
337260695,36.74,44.26
336811220,5,34.5
337190132,26.02,55.86
340458442,3,16.95
340522137,15.58,28.12
338459033,15.36,22.36
336152725,14.43,24.21
339608928,3.44,11.81
336063680,10,30.69
339695953,4.68,12.5
337910385,32.32,61.45
336528595,34.92,59.72
338906722,6.91,15.28
338405590,31.59,43.18
336480884,5,16.7
335882463,4.84,22.85
338911035,4,14.31
337075314,5,25.37
336995631,10,28.92
336489381,11.95,28.02
336490869,10,27.57
336804640,9.31,20.18
337691511,54.45,69.29
337087865,3,16.58
337923249,8.48,15.48
337170216,10.95,25.73
338416687,8.9,23.2
336807713,5.94,17.18
338530788,4.59,15.57
337125446,24.62,35.01
339583346,12.96,24.35
335747211,2,11
338124154,10.64,17.71
337992539,33.98,47.58
338480995,15.55,38.06
337192542,40.63,55.42
337850363,4.57,11.75
335792748,2.39,13.87
336971132,7.17,14.17
338906231,16.19,37.51
339812838,10.42,17.78
340137720,54.43,69.86
336982239,3.23,23.47
339530986,20.96,31.72
337707373,2.55,24.24
336411088,21.31,39.11
337749216,13.54,40.47
335735700,38,59.91
336378276,15.38,27.54
338918137,7.64,16.75
335950245,15,25.54
336016132,12.17,19.17
338859821,5.46,13.49
336729016,10.11,20.7
337164887,0,7.4
338439488,27.5,46.38
336583046,4.81,11.81
336601610,11.48,21.3
335968935,5.73,13.81
335967796,4,16.48
338705987,3.98,13.45
338651891,11.38,31.84
340744640,10,19.41
337735868,14.7,29.84
336746692,2,21.58
335905843,12.13,35.91
338438390,27.67,45.02
337407100,2.01,9.01
340172723,38.06,54.76
335873938,35.72,66.54
337398444,2.55,9.55
337944047,21.89,47.62
339608556,35.3,85.24
340543128,11.55,25.62
340397570,16.62,37.64
335889822,8.79,20.41
338907943,2.33,13.33
338549922,23.36,33.52
340367547,23.53,56.6
337051361,3.57,10.57
338647079,12.62,22.34
338716924,4.53,14.98
337903682,15.45,29.76
338530488,5.76,15.27
338122322,2,9
338674520,2.4,15.42
339667299,0,21.03
339904708,8,19
338459163,22.42,39.4
340437784,28.61,40.14
339435750,8,33.05
338830708,3.19,14.19
338653326,31.46,44.6
337984536,10,32.1
340685043,4.21,12.4
337170037,9.98,18.1
339298345,11,40.24
340595114,16.14,36.6
335740719,14.89,24.89
336941369,18.73,34.79
336811218,8,18.34
336630284,3.77,11.68
338723043,21.24,28.24
338509108,53.06,66.39
340527708,1,15
336482695,10,35.51
338586980,2,11.59
338709087,16.87,23.87
337378262,2,9.25
335681713,40,55.31
338558399,4.03,20.48
338433347,5,22.91
335818486,22.99,40.77
336178426,7.53,18.74
337674238,38.81,53.65
340367197,19.49,32.41
338898381,5.69,15.23
336451106,33.34,46.96
339875443,21.99,58.21
338611063,25,34.32
336704145,0,7
337351930,4.02,16.6
339784588,8,20.47
339864346,7.04,19.76
340756441,2,15
336452129,47.43,58.01
340124178,2,9
340441867,21.65,39.97
337958634,2.79,15.2
337371392,9.42,16.42
337073683,31.13,58.41
337130603,41.36,53.1
339340258,48.45,74.39
340752796,8.63,23.88
336180421,25,35.38
338765911,5.51,22.6
338398521,2.5,19.81
339215974,6.55,21.27
337167858,10.13,34.42
338781226,5.06,15.55
335822626,5,14.03
337407400,14.15,29.57
337059320,11.3,30.88
336689460,5.59,13.2
338246292,5.79,20.33
336070473,10,25.03
339723294,13,23.13
336104905,22.14,35.12
336994652,2,9.2
