BATCH_ID,NUM_DELIVERIES,REGION_ID,WAREHOUSE_ID,SHOPPER_ID,SHOPPER_TENURE,NUM_PRIOR_COMPLETED_BATCHES_SAME_WAREHOUSE
340627882,2,34,161,9725294,veteran,530
340578045,2,31,5,12599335,beginner,18
340345589,2,34,38,12599417,new,11
336220167,1,31,38,9754018,beginner,10
337222065,1,31,279,12364377,beginner,7
336188125,1,31,5,12642044,new,0
340174898,1,34,1487,12892693,new,0
340468965,1,34,161,12722806,new,8
340133049,1,31,279,12644336,beginner,2
336815386,1,31,279,9383655,new,3
340388930,2,34,5,10574126,intermediate,357
337153030,2,31,5,12284305,intermediate,29
340404952,3,31,1487,12852708,new,8
336711694,2,31,279,9186992,intermediate,75
337536997,1,34,279,10176989,veteran,84
339339654,2,34,5,10083854,beginner,113
336985220,2,34,38,11161662,intermediate,60
337379996,2,31,1487,12372207,new,0
340369576,2,31,5,12693269,beginner,30
340581423,2,34,161,11934033,intermediate,22
336958461,1,34,38,1479919,veteran,497
337731989,1,31,161,11151893,new,35
337328386,1,31,5,9355412,beginner,49
336799096,2,34,38,1596950,beginner,1
336618501,3,34,161,9432992,intermediate,121
337935891,2,31,5,9177258,beginner,125
337709655,1,31,1487,12853293,new,0
338680604,1,31,38,9258440,new,2
337768785,2,34,5,12145588,beginner,67
338461314,2,31,5,8000625,new,14
336291541,1,31,1487,12509215,new,0
338354025,2,31,1487,10672982,new,0
336591291,2,31,5,9787844,intermediate,82
336814295,1,34,279,9785800,intermediate,18
337598056,1,31,38,11110416,intermediate,10
337521656,1,31,1487,12832505,new,0
338801336,2,34,161,9613284,intermediate,8
337579833,2,31,279,10563822,intermediate,83
336949947,1,34,38,12494981,new,13
338678372,2,34,5,10571206,intermediate,235
336031608,1,34,38,6647854,intermediate,18
337330511,2,34,5,2627542,veteran,185
338451806,2,31,5,12708231,beginner,18
337223968,2,34,279,12081658,new,1
337637482,1,31,1487,12424964,new,2
337746378,1,34,38,12693460,new,2
337405937,2,31,279,11085938,new,6
338680773,2,31,161,11585595,intermediate,56
338725660,1,34,1487,10936285,veteran,5
337106053,1,31,1487,9158547,veteran,0
338351865,1,34,279,10143610,new,0
340161126,1,34,161,12422687,beginner,0
338409777,2,34,5,8090405,intermediate,80
339512909,1,31,1487,12437880,new,4
336035327,1,34,279,674054,veteran,148
336023755,1,34,38,12697884,new,13
335988658,1,34,161,1831199,veteran,131
340510446,2,34,5,10785499,intermediate,215
336797048,2,31,161,8724780,intermediate,60
337036602,1,34,38,7301930,veteran,62
336802204,1,31,279,12314929,new,3
337262418,2,31,5,12666411,new,12
339955882,2,34,279,2347473,veteran,151
336708444,1,34,38,9408314,beginner,2
340749231,1,34,38,8191939,beginner,24
337616989,1,34,161,9659235,veteran,78
338286995,1,34,161,12900858,new,0
337706384,3,31,279,11578110,beginner,41
339906446,3,34,38,10017661,intermediate,42
336707691,1,31,5,12725335,new,6
338916301,1,31,161,12627157,new,9
337233004,1,34,38,4485382,intermediate,76
336005677,1,34,38,8829828,beginner,36
339535547,1,31,5,9017839,intermediate,31
339960069,1,31,161,6484344,veteran,234
337357679,1,34,38,11949110,veteran,95
337256821,1,31,5,9456586,intermediate,153
338199990,1,31,279,3750632,veteran,156
338107824,1,31,161,12023329,beginner,15
338657417,2,31,279,11471637,beginner,20
338117589,3,34,38,12814409,new,0
335987149,1,34,38,7860556,veteran,227
338564214,1,34,38,10307903,new,1
337362515,3,34,1487,12762320,new,1
339729624,1,34,1487,12309826,new,8
337816542,2,31,5,6450164,intermediate,53
336622012,1,34,38,12297748,intermediate,49
338726986,2,31,279,11001958,beginner,16
336982796,1,31,1487,12671816,beginner,0
338679869,2,31,1487,12679459,new,1
339602061,1,31,38,12119889,beginner,73
337012246,1,34,161,11831089,new,9
340436404,2,31,161,4814718,veteran,74
